course_credits,course_department,course_exam_from,course_lamguage,course_outcome,course_prerequest_for,course_prof,course_remark,course_score,course_semester,course_skills,course_summary,course_teaching_method,course_title,course_uni_url,course_url,course_weeks
4,AR Exchange,During the semester,English,"Identify issues of experience design in relation to an actual typology. Perform rigorous analysis of the problem space and map the stakeholders, spatial flows, temporal journeys, and touch points involved in the experience. Develop  alternative design concepts for future experiences. Translate experience concepts into meaningful architectures through iterative prototyping at appropriate scales and levels of granularity. Create convincing arguments and visual evidence for the design propositions.",None,Huang Jeffrey,Inscription faite par la section,None,Fall,Collect data. Design and present a poster. Set objectives and design an action plan to reach those objectives. Make an oral presentation.,"Experience Design examines the effects of digitalization on architectural typologies in the contemporary city. The course questions traditional typologies by focusing on an understanding and re-design of social, geographic, temporal and emotional experiences.","Presentations, Mapping exercises, Hands-on design activities, Design reviews, Group projects.",UE X : Experience design,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2215330046&ww_x_anneeacad=1866895046&ww_i_section=942293&ww_i_niveau=6683147&ww_c_langue=en,12
2,Materials Science and Engineering,Written,English,"Explain the different services provided by the forests Describe the wood anatomical structure of the main species Interpret the wood properties as a function of its structure Sketch the forms of utilisation of timbers as a fonction of their properties Characterize the relationship between species, structures, properties and uses Identify with a hand lens the 10 main species of Central Europe",Professional activities (choice of materials in projects),Pichelin Frédéric,None,Oral : wood species presentation and specific wood technology topic,Spring,Take responsibility for environmental impacts of her/ his actions and decisions. Access and evaluate appropriate sources of information. Make an oral presentation.,"The presentation of tree growth and formation of wood anatomical structures, linked to the description of specific physical and mechanical properties, makes it possible to understand the different forms of utilisation of this material, including aspects of sustainable development","Frontal and student-centered t., insight in laboratory work, student presentations","Wood structures, properties and uses",https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71630812&ww_x_anneeacad=1866895046&ww_i_section=944917&ww_i_niveau=6683147&ww_c_langue=en,14
4,Financial engineering minor,Written,English,Describe all the institutional aspects of the venture capital industry. Give an example  of the asymmetric information problem that drives contracting in the venture capital industry Recall  discounted cash-flow and comparables valuation techniques Apply finance tools and concepts to the world of venture capital and financing of projects in high-growth industries. Use option pricing techniques to price the preferred securities issued to venture capitalists Describe how leveraged buyout transactions work,None,Fahlenbrach Rüdiger,MA3 only,40% Homework and case studies,Fall,Plan and carry out activities in a way which makes optimal use of available time and other resources. Give feedback (critique) in an appropriate fashion. Take feedback (critique) and respond in an appropriate manner. Summarize an article or a technical report.,The course applies finance tools and concepts to the world of venture capital and financing of projects in high-growth industries. Students are introduced to all institutional aspects of the venture capital industry. Students analyze various aspects of VC finance using an investors' perspective.,"Lectures, homework, case studies, expert talks, exercises",Venture capital,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=842513718&ww_x_anneeacad=1866895046&ww_i_section=120623110&ww_i_niveau=6683147&ww_c_langue=en,14
3,Energy Management and Sustainability,Written,English,"Design an advanced controller for a dynamic system, A11 Assess / Evaluate the stability, performance and robustness of a closed-loop system, A12 Define (specifications) the adequate control performance for dynamic systems, A13 Propose several control solutions, formulate the trade-offs, choose the options, A14 Justify methodological choices and validate the results with respect to the specifications, A19",None,Karimi Alireza,None,Hands-on lab reports (30%) and written test (70%).,Spring,Write a scientific or technical report.,"This course covers some theoretical and practical aspects of robust and adaptive control. This includes H-2 and H-infinity control in model-based and data-driven framework by convex optimization, direct, indirect and switching adaptive control. The methods are implemented in a hands-on lab.","Ex cathedra course, integrated demos and case studies, Hands-on laboratory.",Advanced control systems,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1511074667&ww_x_anneeacad=1866895046&ww_i_section=637841336&ww_i_niveau=6683147&ww_c_langue=en,14
4,Financial engineering minor,Written,English,Describe all the institutional aspects of the venture capital industry. Give an example  of the asymmetric information problem that drives contracting in the venture capital industry Recall  discounted cash-flow and comparables valuation techniques Apply finance tools and concepts to the world of venture capital and financing of projects in high-growth industries. Use option pricing techniques to price the preferred securities issued to venture capitalists Describe how leveraged buyout transactions work,None,Fahlenbrach Rüdiger,MA3 only,40% Homework and case studies,Fall,Plan and carry out activities in a way which makes optimal use of available time and other resources. Give feedback (critique) in an appropriate fashion. Take feedback (critique) and respond in an appropriate manner. Summarize an article or a technical report.,The course applies finance tools and concepts to the world of venture capital and financing of projects in high-growth industries. Students are introduced to all institutional aspects of the venture capital industry. Students analyze various aspects of VC finance using an investors' perspective.,"Lectures, homework, case studies, expert talks, exercises",Venture capital,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=842513718&ww_x_anneeacad=1866895046&ww_i_section=946882&ww_i_niveau=6683147&ww_c_langue=en,14
4,Life Sciences Engineering,Written,English,"Understand and interpret the designs of natural cellular networks Develop and apply softwares (e.g. Matlab, Cello) for modeling and designing genetic circuits and metabolic pathways Use modern techniques in genome engineering for manipulating gene expression and rerouting cell programs Devise and apply effective experimental/ computational protein design strategies for reprogramming and engineering cellular functions Use modern chemical biology tools for selective reprogramming, perturbing, and probing cellular functions Choose the appropriate method to tackle a problem Design a synthetic biology project",None,"Barth Patrick, Hatzimanikatis Vassily",None,"Written exam during the exam session, exercises, (graded) mini project",Spring,"Set objectives and design an action plan to reach those objectives. Assess one's own level of skill acquisition, and plan their on-going learning goals. Continue to work through difficulties or initial failure to find optimal solutions. Assess progress against the plan, and adapt the plan as appropriate. Use both general and domain specific IT resources and tools Write a scientific or technical report.","This course will cover fundamentals and approaches at the interface of biology, chemistry, engineering and computer science for the design of biological systems at both theoretical and practical levels. The principal techniques used in diverse fields of synthetic biology will be introduced.","Half of the course is based on lectures, while in the other half exercises, projects (computational) are provided to the students",Synthetic biology,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1543037339&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
3,Bioengineering,Written,English,,None,"Lütolf Matthias, Radtke Freddy, Suter David",None,Written exam,Fall,,"This course introduces the fundamentals of stem cell biology, with a particular focus on the role of stem cells during development, tissue homeostasis/regeneration and disease.",Lectures and exercices,Stem cell biology and technology,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=48289169&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
4,Bioengineering,Written,English,,None,"Lütolf Matthias, Tang Li",None,Group project: 40%,Spring,,Tissue engineering is an interdisciplinary field that broadly impacts human health. This course provides students an overview of how engineering approaches can be used to investigate and manipulate cell and tissue functions and enable students to be on the cutting edge of tissue engineering.,Lectures integrated with exercises (group project and presentation),Tissue engineering,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=354983632&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
4,Bioengineering,Written,English,,None,Herzog Michael,None,written exam,Fall,,This course is neither an introduction to the mathematics of statistics nor an introduction to a statistics program such as R. The aim of the course is to understand statistics from its experimental design and to avoid common pitfalls of statistical reasoning. There is space to discuss ongoing work.,None,Understanding statistics and experimental design,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1680039643&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
4,Bioengineering,During the semester,English,Explain the limitations of bulk analysis that can be overcome by single cell analysis Explain the advantages and limitations of single cell analysis in gathering quantitative data Explain how single cell analyses can have diagnostic or biomedical value Propose experimental approaches to investigate phenotypic heterogeneity in a cell population Propose experimental approaches to investigate temporal fluctuations in gene expression Propose experimental approaches to investigate cell fate choices and bacterial resistance to drugs at the single cell level,None,"Deplancke Bart, Suter David",None,Oral eaxam during the semester,Spring,,"The students are exposed to experimental and analytical approaches specific to single cell biology, with an emphasis on quantitative aspects.",None,Single cell biology,https://www.epfl.ch/en/,http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2399322520&ww_x_anneeacad=1866895046&ww_i_section=945901&ww_i_niveau=6683147&ww_c_langue=en,14
